D = 2;
n = [ 1 1 ];
N = 10;
d = [ 2 1 2 1 1 1 2 2 2 1 ];
m = [
    [ 1 1 0.94 0.67 0.48 0.81 0.91 0.86 0.48 0 ]
    [ 1 1 1 0.49 1 0.31 0.39 0.92 0.52 0.99 ]
    [ 0.94 1 1 0.7 0.59 1 0.62 0.35 0 0.98 ]
    [ 0.67 0.49 0.7 1 0.71 0.58 0.56 0.76 0.42 0 ]
    [ 0.48 1 0.59 0.71 1 0.64 0.91 0.9 0.32 0.34 ]
    [ 0.81 0.31 1 0.58 0.64 1 0.91 0.87 0.5 0.62 ]
    [ 0.91 0.39 0.62 0.56 0.91 0.91 1 0.92 0.5 0.54 ]
    [ 0.86 0.92 0.35 0.76 0.9 0.87 0.92 1 0.23 0.42 ]
    [ 0.48 0.52 0 0.42 0.32 0.5 0.5 0.23 1 0.46 ]
    [ 0 0.99 0.98 0 0.34 0.62 0.54 0.42 0.46 1 ]
];

