D = 1;
n = [ 28 ];
N = 60;
d = [ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ];
m = [
    [ 1 0.85 1 0.27 0.19 0.8 1 0.37 0.46 0.83 0.71 0.21 0.79 0.63 0.61 1 1 0.36 0.45 0.73 0.76 0.49 0 0.6 0.64 0 0.71 0.43 0.59 1 0.8 0.56 0.6 0.6 0 0 0.88 0.64 0.55 0.5 0.2 0.55 0.26 0.95 1 0.59 0.83 0.32 0.61 0.99 0.28 0.55 0.4 1 0.48 0.68 0.91 0.65 0.23 0.55 ]
    [ 0.85 1 0.73 0.7 0.31 0.5 0.49 0.62 0.2 0.42 0.41 1 0.67 1 0.53 0.76 0.86 0.6 0.47 0.18 0.87 0 0 1 0.52 1 0.63 0.84 0.43 0.42 0.21 0.74 1 0.2 0.19 0.78 1 0.95 0.85 0.17 0.18 0.84 0.35 0.65 0.65 0.27 0.78 0.47 0.9 0.34 1 0.68 0.63 0.41 0.25 0.87 0.8 0.26 0.41 0.46 ]
    [ 1 0.73 1 0.99 0.46 0.76 1 1 0.76 0.6 0.84 0.6 0 0.84 0.78 0.84 0.32 0.96 0.38 0 0.25 0.31 0.49 0.85 0.19 0.23 0 0.3 0.7 0.56 0.32 1 0.71 0.48 0.49 0.95 0.35 0 0.24 1 0.97 0.47 0.22 1 0.45 0.93 1 0 0.52 0.95 0.48 0 0.17 0.73 0.98 0.37 0 1 1 0.95 ]
    [ 0.27 0.7 0.99 1 0.48 0.9 0.4 0.47 0.84 0.47 0.33 0.69 0.76 0.44 0.8 0.23 0.66 0.59 0.69 0.94 0 0.32 0.74 0.31 0.74 0.91 0.56 0 0.53 0.59 0 0.42 0.76 0.89 1 1 0.69 0.87 0.31 0.5 0.46 0.65 0.51 0.87 0.3 0.91 0.82 0.74 0.84 0.56 0.47 0.91 0.72 1 0.46 0.62 1 0.47 0 0 ]
    [ 0.19 0.31 0.46 0.48 1 0.34 0.54 0.35 0.76 0 1 0.57 0.57 0.29 0.87 0.25 0.21 0.26 0.32 1 0.19 0.44 0.55 0.55 1 0.65 0.4 1 0.53 0.65 0.21 0.91 0.7 0.59 1 0.97 1 0.95 0.21 0.9 0.98 0.84 0.31 0 0.41 0.78 0.94 0.53 0.87 0.67 0.29 1 1 0.9 0.56 0.54 0.89 0.95 0.35 1 ]
    [ 0.8 0.5 0.76 0.9 0.34 1 0 0.39 0.54 0.97 1 0.35 0.82 0.71 0.52 0.69 0.43 0.65 0.63 1 0.42 0.27 0.45 0.59 1 0.46 0.74 0.6 0.28 0.45 0.94 0.43 0.4 0.71 0.69 1 0.35 0.91 0.98 0.85 0.6 0 1 0.39 0 0.76 1 1 0.8 0.93 1 1 0.27 0.29 0.56 0.88 0.47 0.51 1 1 ]
    [ 1 0.49 1 0.4 0.54 0 1 0.75 0.64 0.53 0 1 0.84 0.59 0.62 1 0.65 1 0.28 0.78 1 0.22 0.88 1 0.75 0.79 0 0.56 0.54 0.3 0 0.57 0.94 0.27 0.19 0.55 1 1 0.77 0.91 0.76 0.49 0.58 1 0 0.3 0.17 0.47 0.52 0.39 0.81 0.59 0.74 0.21 0.83 1 0.36 0.83 0.64 0 ]
    [ 0.37 0.62 1 0.47 0.35 0.39 0.75 1 0.7 1 0.78 1 0.36 0.54 0.87 0.49 0.82 0.17 0.35 0.78 0.83 0.2 0.49 0.34 0.72 0.59 0.6 0.82 0 0.66 0.51 0 0.38 0.51 0.51 0 0.44 0.35 1 0.66 0.69 0.72 0.89 0.78 0.43 0.39 1 0.8 0 0.79 1 1 0.98 1 0.17 0.72 0.97 0.69 0.51 0.32 ]
    [ 0.46 0.2 0.76 0.84 0.76 0.54 0.64 0.7 1 0.46 0.9 0.72 1 1 0.71 0 0.81 0 0.2 0.58 0.89 0.37 0.44 1 0.83 0.49 0.18 0.45 0.69 0.23 0.19 0.77 1 0 1 0.28 0.56 1 1 0.29 0.81 0.6 1 0.3 1 0.64 1 0.8 1 0.51 0.2 0.66 0.93 0.29 1 0.33 0.39 0.81 0.51 0.65 ]
    [ 0.83 0.42 0.6 0.47 0 0.97 0.53 1 0.46 1 0.66 0.37 0.76 0.82 0 0.93 1 0.84 0.85 0.54 0.74 0.72 0.34 0.55 0.19 0.97 0 1 1 0.58 0.74 0.94 1 0.47 0.46 0.37 0.42 0.34 0.64 1 0.62 0.7 0.96 0.48 1 0.35 1 0.78 1 0.23 0.27 0.81 0.22 0.48 1 0.23 0.78 0.84 0 0.23 ]
