D = 5;
n = [ 1 1 1 1 1 ];
N = 20;
d = [ 1 2 3 4 5 5 5 2 2 4 2 3 4 3 1 4 4 2 1 5 ];
m = [
    [ 1 0.17 0.22 0.89 0.78 0.15 0.79 0.59 0.87 0.34 1 0.76 0.79 0.19 0.15 0.45 0.86 0.22 0.33 0.88 ]
    [ 0.17 1 0.9 1 0.24 0.15 0.64 0 0.27 0.62 1 1 0.87 0.95 0.84 0.45 0.97 0.98 1 0 ]
    [ 0.22 0.9 1 0.3 0.56 0.58 0.36 1 0.6 0.96 0.95 0.9 0.72 0.27 1 0.18 0.8 0.75 0.67 0.13 ]
    [ 0.89 1 0.3 1 0.69 0.76 0.25 0.19 0.65 0.21 0.14 0.18 1 0.23 0.86 0.87 0.32 0.39 0.36 0.9 ]
    [ 0.78 0.24 0.56 0.69 1 0.92 0.26 0.2 0.18 0.29 0.14 0.16 0.98 0.95 0.99 0.31 0.68 0.16 0.3 0.28 ]
    [ 0.15 0.15 0.58 0.76 0.92 1 0.74 1 1 0.67 0.25 0.77 0.56 0.88 0.8 0.93 0 0.33 1 0.28 ]
    [ 0.79 0.64 0.36 0.25 0.26 0.74 1 0.7 0.19 0.42 0.66 0.6 0.33 0.93 0.89 0 0.21 0.29 0.98 1 ]
    [ 0.59 0 1 0.19 0.2 1 0.7 1 0.35 0.49 0.61 0.84 0.32 0.69 0.39 0 0.31 0.51 0.59 0.66 ]
    [ 0.87 0.27 0.6 0.65 0.18 1 0.19 0.35 1 0.9 0.62 0.77 0.4 0.47 0.91 0.76 1 0 0.23 0.75 ]
    [ 0.34 0.62 0.96 0.21 0.29 0.67 0.42 0.49 0.9 1 0.5 0.28 0.43 0.39 0.83 0.72 0.86 0 0 0.31 ]
    [ 1 1 0.95 0.14 0.14 0.25 0.66 0.61 0.62 0.5 1 0.52 0.13 0.84 1 1 0.47 0 0.76 0.78 ]
    [ 0.76 1 0.9 0.18 0.16 0.77 0.6 0.84 0.77 0.28 0.52 1 0.73 0.61 0.26 0.63 0.41 0 0.3 0.47 ]
    [ 0.79 0.87 0.72 1 0.98 0.56 0.33 0.32 0.4 0.43 0.13 0.73 1 0.33 0.42 1 0.84 0.78 0.46 1 ]
    [ 0.19 0.95 0.27 0.23 0.95 0.88 0.93 0.69 0.47 0.39 0.84 0.61 0.33 1 0 1 0.88 0.14 1 0.13 ]
    [ 0.15 0.84 1 0.86 0.99 0.8 0.89 0.39 0.91 0.83 1 0.26 0.42 0 1 0.95 0.27 1 0.42 0.15 ]
    [ 0.45 0.45 0.18 0.87 0.31 0.93 0 0 0.76 0.72 1 0.63 1 1 0.95 1 0.16 0.21 1 0.65 ]
    [ 0.86 0.97 0.8 0.32 0.68 0 0.21 0.31 1 0.86 0.47 0.41 0.84 0.88 0.27 0.16 1 0.59 0.48 0.66 ]
    [ 0.22 0.98 0.75 0.39 0.16 0.33 0.29 0.51 0 0 0 0 0.78 0.14 1 0.21 0.59 1 1 1 ]
    [ 0.33 1 0.67 0.36 0.3 1 0.98 0.59 0.23 0 0.76 0.3 0.46 1 0.42 1 0.48 1 1 1 ]
    [ 0.88 0 0.13 0.9 0.28 0.28 1 0.66 0.75 0.31 0.78 0.47 1 0.13 0.15 0.65 0.66 1 1 1 ]
];
