D = 5;
n = [ 1 1 3 3 3 ];
N = 40;
d = [ 1 2 3 3 3 4 4 4 5 5 5 5 5 2 2 4 2 3 4 3 1 4 4 2 1 5 1 5 1 2 3 3 2 5 4 1 3 1 3 4 ];
m = [
    [ 1 0.87 0.34 1 0.76 0.79 0.19 0.15 0.45 0.86 0.22 0.33 0.88 0.9 1 0.24 0.15 0.64 0 0.27 0.62 1 1 0.87 0.95 0.84 0.45 0.97 0.98 1 0 0.3 0.56 0.58 0.36 1 0.6 0.96 0.95 0.9 ]
    [ 0.87 1 0.72 0.27 1 0.18 0.8 0.75 0.67 0.13 0.69 0.76 0.25 0.19 0.65 0.21 0.14 0.18 1 0.23 0.86 0.87 0.32 0.39 0.36 0.9 0.92 0.26 0.2 0.18 0.29 0.14 0.16 0.98 0.95 0.99 0.31 0.68 0.16 0.3 ]
    [ 0.34 0.72 1 0.28 0.74 1 1 0.67 0.25 0.77 0.56 0.88 0.8 0.93 0 0.33 1 0.28 0.7 0.19 0.42 0.66 0.6 0.33 0.93 0.89 0 0.21 0.29 0.98 1 0.35 0.49 0.61 0.84 0.32 0.69 0.39 0 0.31 ]
    [ 1 0.27 0.28 1 0.51 0.59 0.66 0.9 0.62 0.77 0.4 0.47 0.91 0.76 1 0 0.23 0.75 0.5 0.28 0.43 0.39 0.83 0.72 0.86 0 0 0.31 0.52 0.13 0.84 1 1 0.47 0 0.76 0.78 0.73 0.61 0.26 ]
    [ 0.76 1 0.74 0.51 1 0.63 0.41 0 0.3 0.47 0.33 0.42 1 0.84 0.78 0.46 1 0 1 0.88 0.14 1 0.13 0.95 0.27 1 0.42 0.15 0.16 0.21 1 0.65 0.59 0.48 0.66 1 1 1 0.36 0.76 ]
    [ 0.79 0.18 1 0.59 0.63 1 0.56 0.39 0.91 0.13 0.7 0 0.18 0.48 0.49 1 1 0.15 0.52 0.38 0.8 0.16 0.61 1 0.26 0.27 0.16 0.9 0.43 0.81 1 0.76 0.77 0 0.26 0.34 0.97 1 0.21 0.79 ]
    [ 0.19 0.8 1 0.66 0.41 0.56 1 0.89 0.63 0.68 0.57 0.6 0.2 0.45 0.82 0.57 0.2 0.88 1 0.2 0.61 0.9 0.57 1 0.5 0.43 1 0 0.82 0.4 0.97 0.38 0 0.88 0.77 0.34 0 0.42 0.2 0.65 ]
    [ 0.15 0.75 0.67 0.9 0 0.39 0.89 1 1 0.93 0.28 0.52 0.29 0.91 0.58 0.6 0.72 0.74 0.74 1 1 0.33 0.2 1 0.23 0.98 0.24 0.78 1 0.95 0.66 0.39 0.73 1 0.42 1 0.74 0.81 1 0.83 ]
    [ 0.45 0.67 0.25 0.62 0.3 0.91 0.63 1 1 1 0.99 0.47 0.99 0.14 0.42 0.71 0.36 0.64 0.59 0.68 0.66 0.24 0.52 0.52 0.81 0.81 1 0.74 0.55 0.67 0.37 0.47 0.98 0.82 0.86 0.92 1 0.15 0.18 0.61 ]
    [ 0.86 0.13 0.77 0.77 0.47 0.13 0.68 0.93 1 1 0.93 0.95 0.92 0.19 0.26 0.6 0.41 1 0.87 0.65 0.53 0.41 0.9 0.4 0.91 0.23 0.12 0.99 0.56 0.15 0 0.14 0.52 0.17 0.22 0 0.56 1 0.91 0.19 ]
