D = 5;
n = [ 1 2 1 1 1 ];
N = 50;
d = [ 1 2 2 3 4 5 5 5 2 2 4 2 3 4 3 1 4 4 2 1 5 1 5 1 2 3 3 2 5 4 1 3 1 3 4 1 1 3 5 2 4 5 3 3 1 3 3 4 3 4 ];
m = [
    [ 1 1 1 0.96 0.51 0.52 0.43 0.57 0 0.99 0.89 0.13 0.45 0.46 0.69 1 0.94 0.61 0.57 0.58 0.73 0.27 0.4 0.16 0.8 0.35 0.25 0.25 0.86 0.51 1 0.23 0.3 0.63 0.57 0.64 0.47 0.62 0.45 0 1 0.59 0.93 0.26 0.73 1 0 1 0.26 0.34 ]
    [ 1 1 0.52 0.81 1 1 0.39 0.93 0.93 0.54 1 0.86 0.26 0 0 0.73 0.59 1 0.21 0.26 0 0.47 0.41 1 1 0.41 1 0.61 0.84 0.27 0.33 0.43 0.23 0.19 0.12 0.41 0.89 0.22 0.45 0.85 1 0.84 0.21 0.73 0.98 0.9 0.17 0.91 0.54 0.54 ]
    [ 1 0.52 1 0.71 0.5 0.51 0.59 0.2 0.66 0.86 0.7 0.12 0.29 0.6 1 0.68 0.35 0.28 1 1 0.29 0.48 0.64 0.49 0.17 0.49 0.59 0.95 0.89 0.75 0.49 0.69 0.85 0.89 0.14 0.16 1 0 1 0.71 0.48 0.69 0.47 0.15 0.36 1 1 0.86 0.87 0.95 ]
    [ 0.96 0.81 0.71 1 0.33 0.12 0.44 0.83 0.72 0.27 0.91 0.43 0.77 0.94 0.64 0.14 0.87 0 0.4 0 0.94 0.31 0.3 0.48 0 0 0.39 0.82 0.55 0.45 0.91 0.52 0.24 0.2 1 1 0.86 0.51 0.18 0.87 0 0.95 0 0.14 0.7 0.18 0.36 0.55 0 0.45 ]
    [ 0.51 1 0.5 0.33 1 1 0.76 0 0.25 0.95 0.92 0.53 0 0.33 0.75 0.78 0.33 0.79 0.91 0.32 0.17 1 0.95 0.38 0.47 0.48 0.87 0.95 0.94 0.94 0.99 0.26 0.51 0.37 0.63 0.46 0.71 0.42 0.74 1 0.82 0.28 0.68 0.61 0.67 0.95 0.91 0.15 0.46 1 ]
    [ 0.52 1 0.51 0.12 1 1 0.37 1 0.15 0.91 0.97 0.26 0.12 0.64 0.94 0.58 0.96 0.48 0.94 0.98 0.32 0.66 0.69 0.95 0.89 0.37 0.48 0.81 0.86 1 0.87 0.61 0.89 0.39 0.9 0.41 1 0.56 0.96 0.27 0.54 0.87 0.48 0.31 0.81 0.82 0.77 0.2 0.69 0.18 ]
    [ 0.43 0.39 0.59 0.44 0.76 0.37 1 0.65 0 0.35 0.69 0.22 0.84 0.8 0.46 0.55 0.3 0.35 0.73 0.24 0.46 0.68 0.69 0.92 0.28 0.37 0.26 0.61 0.51 0.97 0.38 0.4 0 0.49 1 0.87 0.83 0.86 1 0.35 0.74 1 0.96 0.27 0.75 0.61 0.45 0.5 0.44 0.96 ]
    [ 0.57 0.93 0.2 0.83 0 1 0.65 1 0.89 0 0.59 0.92 0 0.22 0 1 0 0.27 0.7 0.15 1 0.34 0.34 0.7 0.82 0.64 0.71 0 1 0.26 0 0.96 0.74 0.99 0.8 0.28 0.49 1 0 0.22 0.88 0.5 0 0.52 0.92 0.43 0.75 0.52 0.82 0.62 ]
    [ 0 0.93 0.66 0.72 0.25 0.15 0 0.89 1 0.35 0.66 0.21 0.31 0.64 0.92 1 0.79 0.38 0.94 0.79 0.81 0.44 0.72 0.54 1 0.44 0.37 0.59 0.65 0.89 0.44 0 0.8 0.24 0.52 0.27 0.25 0.35 0.66 0.99 0.42 1 0.26 0.67 1 0.65 0.22 0.47 1 0.93 ]
    [ 0.99 0.54 0.86 0.27 0.95 0.91 0.35 0 0.35 1 0.9 0.59 0.12 0.29 0.48 0.18 0 0.38 0.15 0.74 0.79 0.49 0.39 0.68 0.83 0.19 1 1 0.38 0.62 0.3 0.93 0.77 1 0 0.34 0.82 0.98 0.47 0.83 0.97 0.19 0 0.31 0.73 0.38 0.41 0.38 0.79 0.75 ]
