D = 5;
n = [ 2 3 4 4 2 ];
N = 80;
d = [ 1 1 2 2 2 3 3 3 3 4 4 4 4 5 5 4 4 1 4 5 5 5 3 2 2 5 5 5 5 4 1 1 1 5 5 2 1 3 1 3 3 1 1 3 2 3 3 2 5 2 4 4 3 1 5 1 2 2 5 2 5 2 4 1 2 4 2 4 3 5 1 5 2 3 4 3 2 2 5 1 ];
m = [
    [ 1 0.91 0.31 0 0.44 1 0.33 1 0.7 0.3 0.31 0.49 0.68 0.51 0.23 0.6 0.5 0.66 0.15 0.22 0.48 0.68 0.21 1 0.31 1 1 0 0.12 0.19 0.14 0.6 0 0.14 0.97 0.89 0.3 0.95 0.91 0.59 0.59 1 0.27 1 1 0.9 0.71 0.52 0.92 0.95 0.18 1 0.58 0.68 0 0.4 1 0.59 0.55 0.34 1 0.52 0.42 1 0.38 0.91 0.6 0.2 0.6 0.84 0.33 0.24 0.34 0.33 0.67 0.18 0.6 0.68 0.9 0 ]
    [ 0.91 1 0.55 1 0.54 0.49 0.25 0.59 0.75 0.12 0.35 0.15 0.32 0.93 0.19 0.63 1 0.53 0.76 0.96 0.89 0.61 0.95 0.89 0.72 0.48 0.14 0.78 0 1 0.54 1 1 0.45 0.26 0.78 1 0.98 0.28 0.36 1 0.75 1 0.39 0.46 0.18 0.81 0.8 0 0 0.82 0.57 0.64 0.98 1 0.6 0.35 0.13 1 0.86 0.62 0.19 0.95 0.95 0 0.84 0.5 0.75 0 0.22 0.24 0.17 0.85 0.75 0.46 0.66 0.34 0.2 0.53 0.41 ]
    [ 0.31 0.55 1 0 0.84 0.35 0.89 1 0.96 0.61 0.53 0 0.57 1 0.32 0.78 0.86 0 0.41 0.17 0.72 0.53 0.2 0.88 0.96 0.46 1 0.94 0.78 0.61 0.56 0.3 0.86 0.34 0.31 0.74 0 0.8 0.98 0.76 0.85 1 0.45 0.86 0.73 1 0.54 0.37 0.66 0.36 0.91 0.69 0.54 0.7 0.86 0.14 0.36 0.37 0.51 0 0.86 0.18 0.23 0.96 0.95 0.55 0 0.64 0.91 0 0.48 0.65 0.93 0.83 0.41 0.84 0.95 0.35 0.26 0.24 ]
    [ 0 1 0 1 0.85 0.75 0.72 0.78 0.42 0.57 0.31 0.44 0.45 0.36 0.99 0.82 0.91 0.77 0.17 1 0.49 0.63 0.91 1 0.72 0.44 1 0.43 0.83 0.48 0.16 0.42 0.63 0.93 0.89 0.99 0.52 0.27 0 0.92 1 0.63 0.41 0.64 0.54 0.24 0.58 0.46 1 0.19 1 0.96 0 0.67 0.68 0.8 0.65 0.42 0.19 0 0.35 0.12 1 0.79 0.65 0.17 0.85 0.98 0.54 0.18 0.46 0.61 1 0.85 0.26 0.71 0.76 0.7 0.61 0 ]
    [ 0.44 0.54 0.84 0.85 1 0.16 0.17 1 0.99 0.49 0.97 0.33 0.22 0.78 0.42 0.61 0.33 0.17 0.87 0.69 0.21 0.35 0.51 0.7 0.14 0.85 0.31 0.37 0.3 0.29 0.87 0.53 0.96 0.88 0.65 0.44 0.59 0.89 0.82 0.78 0.94 0 0.45 0.95 0 0.63 0.31 0 1 0.26 0.82 0.7 0.13 0.68 0.34 0 0.73 0.7 0.13 0.61 0 1 0.57 0.8 1 0.44 0.41 0.94 0.9 0.18 0 0.21 0.79 0.81 0.73 0.17 0 0.84 0.21 0.68 ]
    [ 1 0.49 0.35 0.75 0.16 1 0.39 0.28 0.94 1 0.48 0.77 0.64 0.36 1 0.51 0.27 0.27 0.63 0.18 0.96 0.76 0.66 0.83 0.94 0.61 0.75 0.32 0.53 0.98 1 1 0.85 1 0 0.49 0.28 0.63 0.97 0.23 1 0.5 0.91 0.3 0 0.2 0 0.15 0.78 0.44 0.64 0.73 0.87 0.54 1 0.44 0.79 0.94 0 0.31 0.69 0.97 0.94 0 0.99 0.86 0.67 0.71 0.63 1 0.71 0.85 0.61 0.37 0.2 0.31 0 0.73 1 0.22 ]
    [ 0.33 0.25 0.89 0.72 0.17 0.39 1 0.57 0.34 0.36 0.95 0.99 0.82 0.69 0.37 0 0.99 1 0.93 0.74 0.94 0.17 0.5 0.94 0.14 1 0.46 0 0.91 0.59 0.94 0.7 0.73 0.39 0.41 0.48 1 0.21 0.55 0.58 0.13 0.47 0.37 0.52 0.43 0.25 1 0 0.4 0.57 0.68 0 0.86 0.54 0.42 0.26 0 0.79 0.2 0.79 0.12 0.68 0.17 0.57 0.22 1 0.87 0 0.2 0.3 0.16 0.34 0.5 0.12 0.13 0.49 0.12 0 1 0.55 ]
    [ 1 0.59 1 0.78 1 0.28 0.57 1 0.46 0.29 0.24 0.74 0.67 0.27 0.81 0.13 0 0.17 0.32 0.49 0.99 0.9 0.89 0.87 0.24 0.89 0.47 0.12 0.36 0.14 0 0.64 0.68 0.31 0.63 1 1 0.79 0.61 0.51 0.51 0.53 0.2 0.29 0.69 0.42 0.86 0.61 0.56 0.71 0.4 0.99 0.48 1 0.65 0.63 0.16 0.32 0.99 0.62 0.21 0.22 0.79 0.3 0.43 0.24 0.97 0.98 0.69 0.72 0.83 0.68 0.2 0.52 0.29 0.56 0.87 0.26 0.3 0 ]
    [ 0.7 0.75 0.96 0.42 0.99 0.94 0.34 0.46 1 0.73 0.25 0.85 0.32 0.94 0 0 0.93 0.42 0.68 0 0.9 0.7 0.53 0.4 0.42 0.86 1 0.55 0.43 1 0.95 0.91 0.65 0.53 0.72 0.73 0.16 0.46 0.12 1 0.67 0.37 0.84 0.23 0.58 0.44 0.68 1 0.84 0.82 0.12 0.87 0.66 0.66 0 0.48 0.41 0 0.94 0.21 0.61 0 0.65 0.78 0.61 0.74 0.31 0.69 0.6 0.92 0.28 0.16 0.91 1 0.85 0.54 0.13 0.92 0.26 0.96 ]
    [ 0.3 0.12 0.61 0.57 0.49 1 0.36 0.29 0.73 1 0.47 0.28 1 0.45 0.49 0.73 0.94 0.63 0 0.39 0.74 1 0.88 0.82 0.89 0.69 0.17 0.83 1 0.94 0.34 0 0.24 0.82 0.6 1 0.82 0.39 0.79 0.53 0.68 0.25 0.88 0.18 1 0.75 0.47 0 0.16 0.77 0 0.27 1 0.23 0.56 0 0.14 0.25 0.72 0.17 0.72 0.32 0.91 0.59 0.49 0.99 0 0.56 0.61 0.92 0.19 0.57 0.31 0.52 0.9 0.49 0.79 0.97 0.65 0.93 ]
    [ 0.31 0.35 0.53 0.31 0.97 0.48 0.95 0.24 0.25 0.47 1 0.62 0.35 0.35 0.5 0.35 0.3 0.77 0.56 0.86 0.27 0 0 0.74 0.12 0.77 0.7 0.13 0.99 0.61 0.62 0.59 0.18 0.96 0.6 1 0.75 0.8 0.89 0.5 0.62 0.74 0.82 0.54 1 0.99 0.79 0.23 1 0.88 0.7 0.75 1 0.44 0.78 0.13 0.37 0.41 0.43 0.68 0.3 0.78 0.42 0.74 0.4 0.4 0.19 0.73 0.88 0.31 0.75 0.27 0.48 0.51 0.31 0.55 0.55 0.38 0.54 0.18 ]
    [ 0.49 0.15 0 0.44 0.33 0.77 0.99 0.74 0.85 0.28 0.62 1 0.91 0.21 0.9 0.5 0.75 0.13 0.94 0.3 0.24 1 0.69 0.84 0.58 0.41 1 0.75 0.33 0.21 0.55 0.7 0.2 0.97 0.39 0.26 0 0.86 0.54 0.9 0.12 0.93 1 0.73 0.28 0.31 0.33 0.3 0 0.84 0.22 0.72 0.55 0.65 0.49 0.37 1 0.41 0.62 0.64 0.28 0.9 0.13 0.78 0.63 0.24 0.89 0.53 0.23 0.17 0.42 0.99 1 0.69 0.74 0.23 0.97 0.27 0.5 0.93 ]
    [ 0.68 0.32 0.57 0.45 0.22 0.64 0.82 0.67 0.32 1 0.35 0.91 1 0.36 0 0.3 0.34 1 0.9 0.75 0.63 0.49 0.56 0.34 0.41 1 1 0.42 0.92 0.37 0.2 0.49 0.84 0 0.75 0.84 0.42 0.88 0.73 0.94 0.22 0.51 0.3 0.51 0.88 0.99 0.71 0.79 0.21 0.99 0.72 0.99 0.81 0.3 0.26 0.86 0.44 0 0.47 0.13 0.56 0 0.76 0.99 0.13 0.58 0.98 0.17 0.13 0.5 0.39 0.55 0.42 0.26 0.22 0.4 0.72 0.22 1 0.62 ]
    [ 0.51 0.93 1 0.36 0.78 0.36 0.69 0.27 0.94 0.45 0.35 0.21 0.36 1 0.88 0.74 0.45 0.29 1 0.65 0.84 0.97 0.91 0.31 0.3 1 0.91 0.67 0 0.85 0.17 1 0.66 0.89 0.83 0.34 0.91 0.62 0.7 0.12 0.85 0.71 0.15 0.9 0 1 0.51 0.3 0.69 1 0.38 0 0.35 0.27 0.65 0.21 0.77 0.43 0.46 0.44 0.76 0.97 0 0.61 1 0.7 0.23 0.46 0 0.79 0.3 1 0.61 0.15 0.53 1 0.79 0.73 0.46 0.82 ]
    [ 0.23 0.19 0.32 0.99 0.42 1 0.37 0.81 0 0.49 0.5 0.9 0 0.88 1 0.69 0.75 0.27 0.66 0.64 0.16 0.14 0 0.46 0.5 0.12 0.94 0.74 0.71 0.22 0.46 0.21 0.52 0.12 0.22 0.32 0.86 0.33 0.89 0.55 0.43 1 0.74 0.73 0.73 0.14 1 0.58 1 0.89 0.62 0.3 0.35 0 0 0.79 0.58 0.56 0.43 0.46 0.92 0.53 0.12 0.17 0.49 0.53 0.95 0.27 0.63 0.7 0.88 0.4 1 0.47 0.93 0.84 0.69 0.48 0.16 1 ]
    [ 0.6 0.63 0.78 0.82 0.61 0.51 0 0.13 0 0.73 0.35 0.5 0.3 0.74 0.69 1 0.87 0.44 0.16 0.8 0.85 0 0.67 0.88 0.7 0.43 0 0.17 0.33 0.64 0.46 0.83 0.56 0 0.67 0.19 0.29 0.94 1 0.4 0.34 1 0.26 1 1 0.25 0.64 1 0.51 0.6 0.66 0.39 0.83 0.59 0.32 0.4 0.98 1 0.47 0.52 0 0 1 0.61 0.34 0.39 0.69 0.63 0.28 0.61 0.38 0.43 0.73 0.82 0.4 0.45 0.28 0.89 0.2 0.5 ]
    [ 0.5 1 0.86 0.91 0.33 0.27 0.99 0 0.93 0.94 0.3 0.75 0.34 0.45 0.75 0.87 1 0.39 0.23 0.36 0.77 0.26 0.93 1 0.69 1 0.71 1 1 1 0.27 0.18 1 0 0 0.75 0.57 0.17 0.82 0.54 0.76 0.19 0.23 0.31 0.15 0.54 0 0.88 0 0.2 0.65 0.58 0 0.4 0.7 0.15 0.71 0.61 0.19 0.48 0.45 0 0.42 0.76 0.73 0.87 0.61 0.28 0.89 0.9 0.79 0.25 0.55 0 0.47 0.28 0 0 0.73 0.27 ]
    [ 0.66 0.53 0 0.77 0.17 0.27 1 0.17 0.42 0.63 0.77 0.13 1 0.29 0.27 0.44 0.39 1 0.26 1 0.76 0.82 0 0.93 0.45 0.67 0.21 0.94 1 0.76 0.62 0.81 0.43 1 0.39 0.25 0.58 0.49 0.47 0.42 0.76 1 1 0.33 0.4 0.78 0.43 0.58 0.85 0 0.34 1 0.24 0.85 0.15 0.79 1 1 0.57 1 0.2 0.19 1 0.66 1 0.32 1 0.46 0.13 0.7 0.27 0.88 1 0.65 0.55 0 0.12 0.56 0.92 0.27 ]
