D = 5;
n = [ 1 1 1 1 1 ];
N = 20;
d = [ 1 2 3 4 5 4 4 1 4 5 5 5 3 2 2 5 5 5 5 4 ];
m = [
    [ 1 0.97 0.12 0.81 0.27 0.12 0.84 0.87 0.13 0.54 0.86 0.55 1 0.41 0.88 0.96 0.66 0.75 0.43 0.23 ]
    [ 0.97 1 0.69 0.82 0.48 1 0.98 0.86 0.91 0.31 0 0.44 1 0.33 1 0.7 0.3 0.31 0.49 0.68 ]
    [ 0.12 0.69 1 0.51 0.23 0.6 0.5 0.66 0.15 0.22 0.48 0.68 0.21 1 0.31 1 1 0 0.12 0.19 ]
    [ 0.81 0.82 0.51 1 0.14 0.6 0 0.14 0.97 0.89 0.3 0.95 0.91 0.59 0.59 1 0.27 1 1 0.9 ]
    [ 0.27 0.48 0.23 0.14 1 0.71 0.52 0.92 0.95 0.18 1 0.58 0.68 0 0.4 1 0.59 0.55 0.34 1 ]
    [ 0.12 1 0.6 0.6 0.71 1 0.52 0.42 1 0.38 0.91 0.6 0.2 0.6 0.84 0.33 0.24 0.34 0.33 0.67 ]
    [ 0.84 0.98 0.5 0 0.52 0.52 1 0.18 0.6 0.68 0.9 0 0.55 1 0.54 0.49 0.25 0.59 0.75 0.12 ]
    [ 0.87 0.86 0.66 0.14 0.92 0.42 0.18 1 0.35 0.15 0.32 0.93 0.19 0.63 1 0.53 0.76 0.96 0.89 0.61 ]
    [ 0.13 0.91 0.15 0.97 0.95 1 0.6 0.35 1 0.95 0.89 0.72 0.48 0.14 0.78 0 1 0.54 1 1 ]
    [ 0.54 0.31 0.22 0.89 0.18 0.38 0.68 0.15 0.95 1 0.45 0.26 0.78 1 0.98 0.28 0.36 1 0.75 1 ]
    [ 0.86 0 0.48 0.3 1 0.91 0.9 0.32 0.89 0.45 1 0.39 0.46 0.18 0.81 0.8 0 0 0.82 0.57 ]
    [ 0.55 0.44 0.68 0.95 0.58 0.6 0 0.93 0.72 0.26 0.39 1 0.64 0.98 1 0.6 0.35 0.13 1 0.86 ]
    [ 1 1 0.21 0.91 0.68 0.2 0.55 0.19 0.48 0.78 0.46 0.64 1 0.62 0.19 0.95 0.95 0 0.84 0.5 ]
    [ 0.41 0.33 1 0.59 0 0.6 1 0.63 0.14 1 0.18 0.98 0.62 1 0.75 0 0.22 0.24 0.17 0.85 ]
    [ 0.88 1 0.31 0.59 0.4 0.84 0.54 1 0.78 0.98 0.81 1 0.19 0.75 1 0.75 0.46 0.66 0.34 0.2 ]
    [ 0.96 0.7 1 1 1 0.33 0.49 0.53 0 0.28 0.8 0.6 0.95 0 0.75 1 0.53 0.41 0 0.84 ]
    [ 0.66 0.3 1 0.27 0.59 0.24 0.25 0.76 1 0.36 0 0.35 0.95 0.22 0.46 0.53 1 0.35 0.89 1 ]
    [ 0.75 0.31 0 1 0.55 0.34 0.59 0.96 0.54 1 0 0.13 0 0.24 0.66 0.41 0.35 1 0.96 0.61 ]
    [ 0.43 0.49 0.12 1 0.34 0.33 0.75 0.89 1 0.75 0.82 1 0.84 0.17 0.34 0 0.89 0.96 1 0.53 ]
    [ 0.23 0.68 0.19 0.9 1 0.67 0.12 0.61 1 1 0.57 0.86 0.5 0.85 0.2 0.84 1 0.61 0.53 1 ]
];
