D = 4;
n = [ 2 2 1 2 ];
N = 15;
d = [ 3 2 4 4 2 2 4 4 1 1 2 1 3 1 3 ];
m = [
    [ 1 0.435 0.335 0.935 0 0.895 0.355 0.385 0.895 0.795 0.185 0.675 0.305 0 0.185 ]
    [ 0.435 1 0.865 0 0.175 0.265 0.575 0.515 0.265 0.445 1 0.655 0.875 0.185 0.465 ]
    [ 0.335 0.865 1 0.985 0.375 0.145 0.815 0.155 1 0.715 0.775 0.145 0.665 0.775 0.545 ]
    [ 0.935 0 0.985 1 0.235 0.355 1 0.525 1 0 0.225 0.245 0.255 0.425 0.945 ]
    [ 0 0.175 0.375 0.235 1 0.775 0.855 0.305 0.805 0.675 0.365 1 0.465 1 0.585 ]
    [ 0.895 0.265 0.145 0.355 0.775 1 0.975 0.165 0.805 0.585 0.485 1 0.715 0.305 1 ]
    [ 0.355 0.575 0.815 1 0.855 0.975 1 0.965 0.285 0.975 0.885 1 1 0.965 1 ]
    [ 0.385 0.515 0.155 0.525 0.305 0.165 0.965 1 0.945 1 0.175 0.665 0.475 0 1 ]
    [ 0.895 0.265 1 1 0.805 0.805 0.285 0.945 1 1 0 0.435 0.755 0.305 0.375 ]
    [ 0.795 0.445 0.715 0 0.675 0.585 0.975 1 1 1 1 0.675 1 1 0.755 ]
    [ 0.185 1 0.775 0.225 0.365 0.485 0.885 0.175 0 1 1 0.925 0.565 0 0.795 ]
    [ 0.675 0.655 0.145 0.245 1 1 1 0.665 0.435 0.675 0.925 1 0.285 1 0.225 ]
    [ 0.305 0.875 0.665 0.255 0.465 0.715 1 0.475 0.755 1 0.565 0.285 1 0.965 0 ]
    [ 0 0.185 0.775 0.425 1 0.305 0.965 0 0.305 1 0 1 0.965 1 0.395 ]
    [ 0.185 0.465 0.545 0.945 0.585 1 1 1 0.375 0.755 0.795 0.225 0 0.395 1 ]
];

