D = 3;
n = [ 5 8 7 ];
N = 40;
d = [ 2 1 2 2 2 1 3 1 2 2 1 3 1 2 3 3 2 3 3 3 3 3 1 3 2 3 2 2 3 2 2 3 2 3 1 3 3 1 2 1 ];
m = [
    [ 1 0.12 0.87 0.245 0.62 0.245 0.995 0.62 0.62 0.495 0.495 0.245 0 0.62 0.745 0.995 0.745 0.62 0.495 0 0.37 0.245 0 0.495 0.37 0.745 0.12 0.37 0.62 0 0.12 0.495 0.62 0.245 0.745 0.87 0.12 0.245 0.745 0.62 ]
    [ 0.12 1 0.37 0.62 0 0.495 0.62 0.745 0.87 0.495 0.12 0.245 0.245 0.745 0.12 0.37 0.37 0.745 0.12 0 0.12 0.62 0.62 0.245 0.245 0.745 0.245 0.12 0.87 0.495 0.62 0.62 0.62 0 0.37 0.62 0.62 0.995 0.245 0.495 ]
    [ 0.87 0.37 1 0.745 0.62 0.87 0 0 0.495 0.245 0 0.12 0.245 0.245 0.745 0.745 0.87 0.745 0.12 0.245 0.12 0.245 0.745 0.495 0.245 0.12 0.245 0.745 0.495 0.995 0.745 0.745 0.37 0.745 0.62 0.12 0.87 0.62 0.745 0.62 ]
    [ 0.245 0.62 0.745 1 0.62 0.62 0.62 0.12 0.245 0.245 0.62 0.245 0.245 0.37 0.745 0.37 0.495 0.995 0 0.995 0.995 0.245 0.745 0.495 0 0.62 0.495 0.745 0.62 0.245 0.245 0.745 0.37 0.745 0 0.495 0.995 0.245 0.87 0.495 ]
    [ 0.62 0 0.62 0.62 1 0.245 0.745 0.87 0.12 0.245 0.62 0.745 0.995 0.745 0 0.12 0.37 0.12 0.62 0.12 0.745 0.12 0.87 0 0.12 0.245 0.245 0.745 0.87 0.62 0.87 0.245 0.62 0.62 0.995 0.12 0.87 0.12 0.87 0.62 ]
    [ 0.245 0.495 0.87 0.62 0.245 1 0.62 0.495 0.495 0.87 0.495 0.995 0.995 0.37 0 0.62 0.495 0.995 0.745 0.87 0.62 0.37 0.995 0.995 0.995 0.62 0 0.62 0.745 0.495 0.745 0.245 0.62 0.37 0.995 0.62 0.495 0.745 0.745 0.745 ]
    [ 0.995 0.62 0 0.62 0.745 0.62 1 0.245 0.87 0.87 0.37 0 0.37 0.745 0 0.62 0.37 0.37 0.12 0.745 0.12 0 0.87 0 0.62 0.12 0.12 0.62 0.245 0.995 0.37 0.495 0.995 0 0.495 0.62 0.37 0.245 0.12 0 ]
    [ 0.62 0.745 0 0.12 0.87 0.495 0.245 1 0.87 0.495 0.12 0.245 0.12 0.495 0 0.87 0.62 0.495 0.12 0.495 0.745 0.62 0.745 0.245 0.12 0.245 0.495 0.245 0 0.745 0.495 0.495 0 0.995 0.745 0.995 0.995 0.995 0.745 0.995 ]
    [ 0.62 0.87 0.495 0.245 0.12 0.495 0.87 0.87 1 0.745 0.745 0.62 0.62 0.495 0.995 0.745 0.87 0 0.87 0.12 0.12 0.245 0.62 0.12 0.62 0.745 0.995 0 0.12 0.745 0.37 0.245 0.62 0.87 0 0.12 0.87 0.87 0.995 0.995 ]
    [ 0.495 0.495 0.245 0.245 0.245 0.87 0.87 0.495 0.745 1 0.745 0.745 0.745 0.995 0.245 0.745 0.12 0.62 0.12 0.995 0.245 0.87 0 0.37 0.495 0.495 0.745 0 0 0.12 0.245 0.495 0.495 0.745 0.37 0.37 0.495 0.37 0.745 0.495 ]
    [ 0.495 0.12 0 0.62 0.62 0.495 0.37 0.12 0.745 0.745 1 0.87 0.245 0.87 0.87 0.245 0.37 0.495 0.495 0.745 0.37 0.745 0.37 0.745 0.62 0.245 0.495 0 0.62 0.245 0 0.245 0.745 0.995 0.495 0 0.495 0.495 0.12 0.245 ]
    [ 0.245 0.245 0.12 0.245 0.745 0.995 0 0.245 0.62 0.745 0.87 1 0.495 0.62 0.495 0.37 0.745 0.245 0.87 0.87 0.995 0.745 0.245 0.12 0.87 0.245 0.62 0 0.745 0.745 0.37 0.995 0.37 0.62 0.495 0.745 0.995 0.745 0.245 0.62 ]
    [ 0 0.245 0.245 0.245 0.995 0.995 0.37 0.12 0.62 0.745 0.245 0.495 1 0.245 0 0.12 0 0.495 0.87 0.12 0 0.87 0.495 0 0.62 0.37 0.62 0 0.495 0.87 0.745 0.62 0.62 0.37 0.62 0 0.62 0.62 0.12 0.12 ]
    [ 0.62 0.745 0.245 0.37 0.745 0.37 0.745 0.495 0.495 0.995 0.87 0.62 0.245 1 0.62 0.87 0.87 0.37 0.745 0.495 0.995 0.495 0.87 0.745 0.995 0.62 0.37 0.495 0.245 0.995 0.995 0.87 0 0.995 0.245 0.245 0.245 0.495 0.245 0.245 ]
    [ 0.745 0.12 0.745 0.745 0 0 0 0 0.995 0.245 0.87 0.495 0 0.62 1 0.62 0.495 0.87 0.245 0.495 0 0.745 0.995 0.62 0.87 0.12 0.745 0.495 0 0.12 0.62 0.12 0.495 0.995 0.87 0.745 0.62 0.87 0.37 0 ]
    [ 0.995 0.37 0.745 0.37 0.12 0.62 0.62 0.87 0.745 0.745 0.245 0.37 0.12 0.87 0.62 1 0 0.12 0.62 0.62 0.12 0.87 0.245 0.745 0.745 0.245 0.87 0.87 0.37 0.745 0.995 0.745 0.37 0.495 0.37 0.37 0.62 0.995 0.995 0.245 ]
    [ 0.745 0.37 0.87 0.495 0.37 0.495 0.37 0.62 0.87 0.12 0.37 0.745 0 0.87 0.495 0 1 0.12 0.995 0.37 0.12 0.37 0.12 0.745 0.995 0.62 0 0.37 0 0.245 0.495 0.62 0.745 0.995 0.495 0.37 0.745 0 0 0.62 ]
    [ 0.62 0.745 0.745 0.995 0.12 0.995 0.37 0.495 0 0.62 0.495 0.245 0.495 0.37 0.87 0.12 0.12 1 0.995 0 0.87 0 0.995 0.87 0.87 0.87 0.12 0.995 0.995 0.995 0.745 0.495 0.245 0.995 0.995 0.62 0.995 0.495 0.87 0.12 ]
    [ 0.495 0.12 0.12 0 0.62 0.745 0.12 0.12 0.87 0.12 0.495 0.87 0.87 0.745 0.245 0.62 0.995 0.995 1 0.745 0.995 0.62 0 0.12 0.245 0.245 0.12 0 0.37 0.745 0.995 0.12 0.37 0 0.495 0.245 0.87 0.245 0.245 0.995 ]
    [ 0 0 0.245 0.995 0.12 0.87 0.745 0.495 0.12 0.995 0.745 0.87 0.12 0.495 0.495 0.62 0.37 0 0.745 1 0.12 0.87 0.495 0 0.495 0 0.37 0.745 0.495 0.995 0 0.12 0.745 0.12 0.62 0.245 0.12 0.62 0.245 0.12 ]
    [ 0.37 0.12 0.12 0.995 0.745 0.62 0.12 0.745 0.12 0.245 0.37 0.995 0 0.995 0 0.12 0.12 0.87 0.995 0.12 1 0.37 0.995 0.245 0.12 0.87 0.37 0.995 0.37 0.745 0.62 0.37 0.745 0.745 0.745 0 0.62 0.495 0 0.12 ]
    [ 0.245 0.62 0.245 0.245 0.12 0.37 0 0.62 0.245 0.87 0.745 0.745 0.87 0.495 0.745 0.87 0.37 0 0.62 0.87 0.37 1 0.245 0.62 0.995 0 0.12 0.62 0.62 0.37 0.245 0.495 0.87 0.745 0.245 0.87 0.62 0.245 0.62 0.245 ]
    [ 0 0.62 0.745 0.745 0.87 0.995 0.87 0.745 0.62 0 0.37 0.245 0.495 0.87 0.995 0.245 0.12 0.995 0 0.495 0.995 0.245 1 0.245 0.62 0.495 0.87 0.12 0.245 0.995 0.12 0.745 0.12 0 0.495 0.62 0.995 0.37 0.495 0.12 ]
