instance,alpha,num_iterations,score,time
custom_dat/big.dat,0,1,38.74,0.382197
custom_dat/big.dat,0.2,1,38.14,0.402891
custom_dat/big.dat,0.2,2,38.59,0.803996
custom_dat/big.dat,0.2,3,39.21,1.39444
custom_dat/big.dat,0.2,4,39.28,2.0815
custom_dat/big.dat,0.2,5,39.28,2.48534
custom_dat/big.dat,0.2,6,39.28,2.9769
custom_dat/big.dat,0.2,7,39.28,3.37278
custom_dat/big.dat,0.2,8,39.28,4.14103
custom_dat/big.dat,0.2,9,39.28,4.54971
custom_dat/big.dat,0.2,10,39.28,4.85721
custom_dat/big.dat,0.4,1,38.8,0.783607
custom_dat/big.dat,0.4,2,38.8,1.27812
custom_dat/big.dat,0.4,3,39.2,1.8595
custom_dat/big.dat,0.4,4,39.2,2.35208
custom_dat/big.dat,0.4,5,39.2,2.91609
custom_dat/big.dat,0.4,6,39.21,3.32284
custom_dat/big.dat,0.4,7,39.21,3.82448
custom_dat/big.dat,0.4,8,39.21,4.4046
custom_dat/big.dat,0.4,9,39.21,4.9834
custom_dat/big.dat,0.4,10,39.21,5.56476
custom_dat/big.dat,0.6,1,38.4,0.767355
custom_dat/big.dat,0.6,2,38.4,1.16788
custom_dat/big.dat,0.6,3,38.62,1.84243
custom_dat/big.dat,0.6,4,39.15,2.32855
custom_dat/big.dat,0.6,5,39.15,3.00205
custom_dat/big.dat,0.6,6,39.27,3.49363
custom_dat/big.dat,0.6,7,39.27,3.99076
custom_dat/big.dat,0.6,8,39.27,4.38291
custom_dat/big.dat,0.6,9,39.27,5.04061
custom_dat/big.dat,0.6,10,39.27,5.81476
custom_dat/big.dat,0.8,1,39.18,0.403401
custom_dat/big.dat,0.8,2,39.18,0.986151
custom_dat/big.dat,0.8,3,39.18,1.56647
custom_dat/big.dat,0.8,4,39.18,2.06736
custom_dat/big.dat,0.8,5,39.57,2.66717
custom_dat/big.dat,0.8,6,39.57,3.14904
custom_dat/big.dat,0.8,7,39.57,3.63725
custom_dat/big.dat,0.8,8,39.57,4.30683
custom_dat/big.dat,0.8,9,39.57,4.89636
custom_dat/big.dat,0.8,10,39.57,5.39414
custom_dat/big.dat,1,1,37.39,0.580659
custom_dat/big.dat,1,2,39.18,1.53454
custom_dat/big.dat,1,3,39.39,2.20764
custom_dat/big.dat,1,4,39.39,2.69299
custom_dat/big.dat,1,5,39.39,3.19574
custom_dat/big.dat,1,6,39.39,3.58582
custom_dat/big.dat,1,7,39.39,4.07301
custom_dat/big.dat,1,8,39.39,4.58457
custom_dat/big.dat,1,9,39.39,5.51906
custom_dat/big.dat,1,10,39.39,5.90925
custom_dat/easy.dat,0,1,1,0
custom_dat/easy.dat,0.2,1,1,0.0124067
custom_dat/easy.dat,0.2,2,1,0.0124067
custom_dat/easy.dat,0.2,3,1,0.0219123
custom_dat/easy.dat,0.2,4,1,0.0219123
custom_dat/easy.dat,0.2,5,1,0.0291951
custom_dat/easy.dat,0.2,6,1,0.0291951
custom_dat/easy.dat,0.2,7,1,0.0291951
custom_dat/easy.dat,0.2,8,1,0.0291951
custom_dat/easy.dat,0.2,9,1,0.0456243
custom_dat/easy.dat,0.2,10,1,0.0456243
custom_dat/easy.dat,0.4,1,1,0
custom_dat/easy.dat,0.4,2,1,0
custom_dat/easy.dat,0.4,3,1,0
custom_dat/easy.dat,0.4,4,1,0.0169282
custom_dat/easy.dat,0.4,5,1,0.0169282
custom_dat/easy.dat,0.4,6,1,0.0169282
custom_dat/easy.dat,0.4,7,1,0.0169282
custom_dat/easy.dat,0.4,8,1,0.033242
custom_dat/easy.dat,0.4,9,1,0.033242
custom_dat/easy.dat,0.4,10,1,0.033242
custom_dat/easy.dat,0.6,1,1,0.0020073
custom_dat/easy.dat,0.6,2,1,0.0020073
custom_dat/easy.dat,0.6,3,1,0.0020073
custom_dat/easy.dat,0.6,4,1,0.0167815
custom_dat/easy.dat,0.6,5,1,0.0167815
custom_dat/easy.dat,0.6,6,1,0.0167815
custom_dat/easy.dat,0.6,7,1,0.0271244
custom_dat/easy.dat,0.6,8,1,0.0335947
custom_dat/easy.dat,0.6,9,1,0.0335947
custom_dat/easy.dat,0.6,10,1,0.0335947
custom_dat/easy.dat,0.8,1,1,0
custom_dat/easy.dat,0.8,2,1,0.011336
custom_dat/easy.dat,0.8,3,1,0.0173535
custom_dat/easy.dat,0.8,4,1,0.0173535
custom_dat/easy.dat,0.8,5,1,0.0278382
custom_dat/easy.dat,0.8,6,1,0.0278382
custom_dat/easy.dat,0.8,7,1,0.0278382
custom_dat/easy.dat,0.8,8,1,0.0278382
custom_dat/easy.dat,0.8,9,1,0.0443812
custom_dat/easy.dat,0.8,10,1,0.0443812
custom_dat/easy.dat,1,1,1,0
custom_dat/easy.dat,1,2,1,0
custom_dat/easy.dat,1,3,1,0
custom_dat/easy.dat,1,4,1,0.0170045
custom_dat/easy.dat,1,5,1,0.0170045
custom_dat/easy.dat,1,6,1,0.0170045
custom_dat/easy.dat,1,7,1,0.0170045
custom_dat/easy.dat,1,8,1,0.0335143
custom_dat/easy.dat,1,9,1,0.0335143
custom_dat/easy.dat,1,10,1,0.0430217
custom_dat/easy2.dat,0,1,152.92,0.8301
custom_dat/easy2.dat,0.2,1,151.13,0.621481
custom_dat/easy2.dat,0.2,2,153.55,1.42334
custom_dat/easy2.dat,0.2,3,153.55,2.23113
custom_dat/easy2.dat,0.2,4,153.55,3.04339
custom_dat/easy2.dat,0.2,5,153.55,3.89814
custom_dat/easy2.dat,0.2,6,153.55,4.4136
custom_dat/easy2.dat,0.2,7,153.55,5.06543
custom_dat/easy2.dat,0.2,8,153.55,5.64653
custom_dat/easy2.dat,0.2,9,153.55,6.48243
custom_dat/easy2.dat,0.2,10,153.55,7.31844
custom_dat/easy2.dat,0.4,1,152.85,0.760754
custom_dat/easy2.dat,0.4,2,153.55,1.46802
custom_dat/easy2.dat,0.4,3,153.55,1.83637
custom_dat/easy2.dat,0.4,4,153.55,2.3747
custom_dat/easy2.dat,0.4,5,153.55,3.09968
custom_dat/easy2.dat,0.4,6,153.55,3.65772
custom_dat/easy2.dat,0.4,7,153.55,4.36561
custom_dat/easy2.dat,0.4,8,153.55,4.92516
custom_dat/easy2.dat,0.4,9,155.08,5.50508
custom_dat/easy2.dat,0.4,10,157.19,6.23336
custom_dat/easy2.dat,0.6,1,152.92,0.526251
custom_dat/easy2.dat,0.6,2,157.19,0.882378
custom_dat/easy2.dat,0.6,3,157.19,1.61345
custom_dat/easy2.dat,0.6,4,157.19,2.11124
custom_dat/easy2.dat,0.6,5,157.19,2.64209
custom_dat/easy2.dat,0.6,6,157.19,3.31796
custom_dat/easy2.dat,0.6,7,157.19,3.74769
custom_dat/easy2.dat,0.6,8,157.19,4.24543
custom_dat/easy2.dat,0.6,9,157.19,4.93397
custom_dat/easy2.dat,0.6,10,157.19,5.55121
custom_dat/easy2.dat,0.8,1,157.19,0.656247
custom_dat/easy2.dat,0.8,2,157.19,1.13082
custom_dat/easy2.dat,0.8,3,157.19,1.4859
custom_dat/easy2.dat,0.8,4,157.19,1.83663
custom_dat/easy2.dat,0.8,5,157.19,2.39199
custom_dat/easy2.dat,0.8,6,157.19,2.94088
custom_dat/easy2.dat,0.8,7,157.19,3.39664
custom_dat/easy2.dat,0.8,8,157.19,4.21039
custom_dat/easy2.dat,0.8,9,157.19,4.55165
custom_dat/easy2.dat,0.8,10,157.19,5.08814
custom_dat/easy2.dat,1,1,153.55,0.447336
custom_dat/easy2.dat,1,2,153.55,1.12132
custom_dat/easy2.dat,1,3,153.55,1.59974
custom_dat/easy2.dat,1,4,155.08,2.30054
custom_dat/easy2.dat,1,5,155.08,3.04883
custom_dat/easy2.dat,1,6,157.19,3.89719
custom_dat/easy2.dat,1,7,157.19,4.43377
custom_dat/easy2.dat,1,8,157.19,5.33922
custom_dat/easy2.dat,1,9,157.19,5.79661
custom_dat/easy2.dat,1,10,157.19,6.32392
custom_dat/hard.dat,0,1,263.03,0.468873
custom_dat/hard.dat,0.2,10,NA,TO
custom_dat/hard.dat,0.4,10,NA,TO
custom_dat/hard.dat,0.6,10,NA,TO
custom_dat/hard.dat,0.8,10,NA,TO
custom_dat/hard.dat,1.0,10,NA,TO
custom_dat/huge.dat,0.0,10,NA,TO
custom_dat/huge.dat,0.2,10,NA,TO
custom_dat/huge.dat,0.4,10,NA,TO
custom_dat/huge.dat,0.6,10,NA,TO
