instance,alpha,num_iterations,score,time
020,0,1,7.52,0.0192625
020,0.2,1,7.43,0.0189963
020,0.2,2,7.43,0.0590561
020,0.2,3,7.43,0.0864148
020,0.2,4,8.66,0.106782
020,0.2,5,8.66,0.126037
020,0.2,6,8.66,0.146573
020,0.2,7,8.66,0.164955
020,0.2,8,8.66,0.184955
020,0.2,9,8.66,0.205257
020,0.2,10,8.66,0.22452
020,0.4,1,7.43,0.0191496
020,0.4,2,8.25,0.0398996
020,0.4,3,8.25,0.06121
020,0.4,4,8.25,0.0835253
020,0.4,5,8.25,0.10389
020,0.4,6,8.25,0.123363
020,0.4,7,8.25,0.144766
020,0.4,8,8.66,0.164206
020,0.4,9,8.66,0.187502
020,0.4,10,8.66,0.206822
020,0.6,1,8.66,0.0215366
020,0.6,2,8.66,0.0423612
020,0.6,3,8.66,0.0626959
020,0.6,4,8.66,0.0820939
020,0.6,5,8.66,0.103424
020,0.6,6,8.66,0.1237
020,0.6,7,8.66,0.144513
020,0.6,8,8.66,0.165872
020,0.6,9,8.66,0.186189
020,0.6,10,8.66,0.206539
020,0.8,1,8.66,0.0193602
020,0.8,2,8.66,0.0392023
020,0.8,3,8.66,0.0605873
020,0.8,4,8.66,0.0819351
020,0.8,5,8.66,0.102253
020,0.8,6,8.66,0.122607
020,0.8,7,8.66,0.145662
020,0.8,8,8.66,0.166084
020,0.8,9,8.66,0.186471
020,0.8,10,8.66,0.205826
020,1,1,8.66,0.0223422
020,1,2,8.66,0.0417807
020,1,3,8.66,0.0610821
020,1,4,8.66,0.0803904
020,1,5,8.66,0.0997214
020,1,6,8.66,0.120164
020,1,7,8.66,0.141072
020,1,8,8.66,0.161367
020,1,9,8.66,0.180673
020,1,10,8.66,0.200023
030,0,1,20.61,0.042781
030,0.2,1,20.61,0.0366279
030,0.2,2,20.61,0.0678658
030,0.2,3,20.61,0.101426
030,0.2,4,20.61,0.146178
030,0.2,5,21.67,0.186121
030,0.2,6,21.67,0.219749
030,0.2,7,21.67,0.251316
030,0.2,8,21.67,0.28197
030,0.2,9,21.67,0.318105
030,0.2,10,21.67,0.348867
030,0.4,1,21.16,0.0331524
030,0.4,2,21.16,0.0657907
030,0.4,3,21.16,0.0984365
030,0.4,4,22.14,0.133027
030,0.4,5,22.14,0.165702
030,0.4,6,22.14,0.196212
030,0.4,7,22.14,0.229224
030,0.4,8,22.14,0.263764
030,0.4,9,22.14,0.298572
030,0.4,10,22.14,0.354342
030,0.6,1,21.67,0.0336417
030,0.6,2,21.67,0.065713
030,0.6,3,21.67,0.102549
030,0.6,4,22.14,0.137241
030,0.6,5,22.14,0.168895
030,0.6,6,22.14,0.199423
030,0.6,7,22.14,0.229973
030,0.6,8,22.14,0.264148
030,0.6,9,22.14,0.295589
030,0.6,10,22.14,0.328106
030,0.8,1,21.16,0.029559
030,0.8,2,21.16,0.0617275
030,0.8,3,21.67,0.0925456
030,0.8,4,21.67,0.1199
030,0.8,5,21.67,0.15041
030,0.8,6,21.67,0.177985
030,0.8,7,22.14,0.205459
030,0.8,8,22.14,0.237473
030,0.8,9,22.14,0.271607
030,0.8,10,22.14,0.304156
030,1,1,21.67,0.0319502
030,1,2,21.67,0.0655098
030,1,3,22.14,0.0981244
030,1,4,22.14,0.127446
030,1,5,22.14,0.16004
030,1,6,22.14,0.192391
030,1,7,22.14,0.225096
030,1,8,22.14,0.267266
030,1,9,22.14,0.309936
030,1,10,22.14,0.340838
040,0,1,40.35,0.0561601
040,0.2,1,40.35,0.0640886
040,0.2,2,40.35,0.140058
040,0.2,3,41.01,0.216369
040,0.2,4,41.01,0.296153
040,0.2,5,41.01,0.354389
040,0.2,6,41.01,0.435268
040,0.2,7,41.01,0.499257
040,0.2,8,41.01,0.553248
040,0.2,9,41.01,0.608154
040,0.2,10,41.01,0.691121
040,0.4,1,39.72,0.0696717
040,0.4,2,40.35,0.137733
040,0.4,3,41.01,0.204278
040,0.4,4,41.01,0.25595
040,0.4,5,41.01,0.315695
040,0.4,6,41.01,0.374183
040,0.4,7,41.01,0.43586
040,0.4,8,41.01,0.493366
040,0.4,9,41.01,0.551921
040,0.4,10,41.01,0.605443
040,0.6,1,39.72,0.0603725
040,0.6,2,39.72,0.11275
040,0.6,3,41.01,0.175834
040,0.6,4,41.01,0.237999
040,0.6,5,41.01,0.304024
040,0.6,6,41.01,0.369767
040,0.6,7,41.01,0.427548
040,0.6,8,41.01,0.487195
040,0.6,9,41.01,0.556078
040,0.6,10,41.01,0.608971
040,0.8,1,41.01,0.070474
040,0.8,2,41.01,0.148786
