instance,alpha,num_iterations,score,time
020,0,1,9.12,0.0250391
020,0.2,1,9.12,0.0184628
020,0.2,2,9.12,0.0363028
020,0.2,3,9.12,0.0531766
020,0.2,4,9.12,0.0726083
020,0.2,5,9.12,0.0899063
020,0.2,6,9.12,0.10847
020,0.2,7,9.12,0.126551
020,0.2,8,9.12,0.143912
020,0.2,9,9.12,0.163041
020,0.2,10,9.12,0.184285
020,0.4,1,9.12,0.0178112
020,0.4,2,9.12,0.0363686
020,0.4,3,9.12,0.0578656
020,0.4,4,9.12,0.0764263
020,0.4,5,9.12,0.0946502
020,0.4,6,9.12,0.11213
020,0.4,7,9.12,0.129788
020,0.4,8,9.12,0.14886
020,0.4,9,9.12,0.166687
020,0.4,10,9.12,0.182985
020,0.6,1,9.12,0.0171627
020,0.6,2,9.12,0.0360164
020,0.6,3,9.12,0.0529535
020,0.6,4,9.12,0.0688723
020,0.6,5,9.12,0.086649
020,0.6,6,9.12,0.103851
020,0.6,7,9.12,0.123482
020,0.6,8,9.12,0.140528
020,0.6,9,9.12,0.158288
020,0.6,10,9.12,0.174056
020,0.8,1,7.39,0.0169809
020,0.8,2,9.12,0.0400174
020,0.8,3,9.12,0.0550041
020,0.8,4,9.12,0.0761134
020,0.8,5,9.12,0.0938443
020,0.8,6,9.12,0.108897
020,0.8,7,9.12,0.128094
020,0.8,8,9.12,0.146095
020,0.8,9,9.12,0.169004
020,0.8,10,9.12,0.190947
020,1,1,9.12,0.0233593
020,1,2,9.12,0.0455714
020,1,3,9.12,0.0665049
020,1,4,9.12,0.0851062
020,1,5,9.12,0.106406
020,1,6,9.12,0.123824
020,1,7,9.12,0.141868
020,1,8,9.12,0.159326
020,1,9,9.12,0.176255
020,1,10,9.12,0.192453
030,0,1,8.56,0.0181576
030,0.2,1,8.56,0.0183832
030,0.2,2,8.56,0.07902
030,0.2,3,8.56,0.108187
030,0.2,4,8.56,0.131099
030,0.2,5,8.56,0.152265
030,0.2,6,8.56,0.17378
030,0.2,7,8.56,0.19437
030,0.2,8,8.56,0.215628
030,0.2,9,8.56,0.236858
030,0.2,10,8.56,0.256503
030,0.4,1,8.56,0.0224885
030,0.4,2,8.56,0.0431879
030,0.4,3,8.56,0.0630946
030,0.4,4,8.56,0.0815376
030,0.4,5,8.56,0.103441
030,0.4,6,8.56,0.124161
030,0.4,7,8.56,0.144155
030,0.4,8,8.56,0.163808
030,0.4,9,8.56,0.18691
030,0.4,10,8.56,0.210009
030,0.6,1,8.34,0.0204053
030,0.6,2,8.56,0.0437029
