instance,alpha,num_iterations,score,time
dat/project.1.dat,0,1,10.05,0.0096911
dat/project.1.dat,0.2,1,10.05,0.0121418
dat/project.1.dat,0.2,2,10.05,0.0227161
dat/project.1.dat,0.2,3,10.05,0.0316058
dat/project.1.dat,0.2,4,10.05,0.0316058
dat/project.1.dat,0.2,5,10.05,0.0481677
dat/project.1.dat,0.2,6,10.05,0.0677832
dat/project.1.dat,0.2,7,10.05,0.0677832
dat/project.1.dat,0.2,8,10.05,0.0866659
dat/project.1.dat,0.2,9,10.05,0.102231
dat/project.1.dat,0.2,10,10.05,0.112979
dat/project.1.dat,0.4,1,10.05,0.0167582
dat/project.1.dat,0.4,2,10.05,0.0203848
dat/project.1.dat,0.4,3,10.05,0.0369442
dat/project.1.dat,0.4,4,10.05,0.0490189
dat/project.1.dat,0.4,5,10.05,0.0542658
dat/project.1.dat,0.4,6,10.05,0.069375
dat/project.1.dat,0.4,7,10.05,0.082362
dat/project.1.dat,0.4,8,10.05,0.0842515
dat/project.1.dat,0.4,9,10.05,0.101198
dat/project.1.dat,0.4,10,10.05,0.101198
dat/project.1.dat,0.6,1,10.05,0.011316
dat/project.1.dat,0.6,2,10.05,0.011316
dat/project.1.dat,0.6,3,10.05,0.0280206
dat/project.1.dat,0.6,4,10.05,0.0445737
dat/project.1.dat,0.6,5,10.05,0.0445737
dat/project.1.dat,0.6,6,10.05,0.061128
dat/project.1.dat,0.6,7,10.05,0.0773475
dat/project.1.dat,0.6,8,10.05,0.0778736
dat/project.1.dat,0.6,9,10.05,0.0945028
dat/project.1.dat,0.6,10,10.05,0.0945028
dat/project.1.dat,0.8,1,10.05,0.0194729
dat/project.1.dat,0.8,2,10.05,0.0336595
dat/project.1.dat,0.8,3,10.05,0.0336595
dat/project.1.dat,0.8,4,10.05,0.0523509
dat/project.1.dat,0.8,5,10.05,0.069615
dat/project.1.dat,0.8,6,10.05,0.0811651
dat/project.1.dat,0.8,7,10.05,0.0851656
dat/project.1.dat,0.8,8,10.05,0.103728
dat/project.1.dat,0.8,9,10.05,0.116562
dat/project.1.dat,0.8,10,10.05,0.11898
dat/project.1.dat,1,1,10.05,0.0152961
dat/project.1.dat,1,2,10.05,0.0152961
dat/project.1.dat,1,3,10.05,0.0315235
dat/project.1.dat,1,4,10.05,0.0467004
dat/project.1.dat,1,5,10.05,0.0480689
dat/project.1.dat,1,6,10.05,0.0648252
dat/project.1.dat,1,7,10.05,0.0648252
dat/project.1.dat,1,8,10.05,0.0869048
dat/project.1.dat,1,9,10.05,0.0980219
dat/project.1.dat,1,10,10.05,0.0980219
dat/project.2.dat,0,1,7.55,0.0093518
dat/project.2.dat,0.2,1,7.55,0.0168938
dat/project.2.dat,0.2,2,7.55,0.0168938
dat/project.2.dat,0.2,3,7.55,0.0335788
dat/project.2.dat,0.2,4,7.55,0.0335788
dat/project.2.dat,0.2,5,7.55,0.0499529
dat/project.2.dat,0.2,6,7.55,0.0668372
dat/project.2.dat,0.2,7,7.55,0.0668372
dat/project.2.dat,0.2,8,7.55,0.0831749
dat/project.2.dat,0.2,9,7.55,0.0831749
dat/project.2.dat,0.2,10,7.55,0.100262
dat/project.2.dat,0.4,1,7.55,0
dat/project.2.dat,0.4,2,7.55,0.017087
dat/project.2.dat,0.4,3,7.55,0.0337615
dat/project.2.dat,0.4,4,7.55,0.0337615
dat/project.2.dat,0.4,5,7.55,0.0504897
dat/project.2.dat,0.4,6,7.55,0.066638
dat/project.2.dat,0.4,7,7.55,0.0676378
dat/project.2.dat,0.4,8,7.55,0.0848681
dat/project.2.dat,0.4,9,7.55,0.101245
dat/project.2.dat,0.4,10,7.55,0.101245
dat/project.2.dat,0.6,1,7.55,0.0093938
dat/project.2.dat,0.6,2,7.55,0.0104484
dat/project.2.dat,0.6,3,7.55,0.0268688
dat/project.2.dat,0.6,4,7.55,0.0268688
dat/project.2.dat,0.6,5,7.55,0.0486308
dat/project.2.dat,0.6,6,7.55,0.0591555
dat/project.2.dat,0.6,7,7.55,0.0602926
dat/project.2.dat,0.6,8,7.55,0.0769207
dat/project.2.dat,0.6,9,7.55,0.0769207
dat/project.2.dat,0.6,10,7.55,0.0935744
dat/project.2.dat,0.8,1,7.55,0.0118974
dat/project.2.dat,0.8,2,7.55,0.0118974
dat/project.2.dat,0.8,3,7.55,0.0286539
dat/project.2.dat,0.8,4,7.55,0.0451174
dat/project.2.dat,0.8,5,7.55,0.0531508
dat/project.2.dat,0.8,6,7.55,0.0619411
dat/project.2.dat,0.8,7,7.55,0.0619411
dat/project.2.dat,0.8,8,7.55,0.0790465
dat/project.2.dat,0.8,9,7.55,0.0950387
dat/project.2.dat,0.8,10,7.55,0.0950387
dat/project.2.dat,1,1,7.55,0.0110928
dat/project.2.dat,1,2,7.55,0.0273463
dat/project.2.dat,1,3,7.55,0.030844
dat/project.2.dat,1,4,7.55,0.0443689
dat/project.2.dat,1,5,7.55,0.0611176
dat/project.2.dat,1,6,7.55,0.0611176
dat/project.2.dat,1,7,7.55,0.0779301
dat/project.2.dat,1,8,7.55,0.0779301
dat/project.2.dat,1,9,7.55,0.0944749
dat/project.2.dat,1,10,7.55,0.109688
dat/project.3.dat,0,1,7,0.0162916
dat/project.3.dat,0.2,1,7,0.0150089
dat/project.3.dat,0.2,2,7,0.0186179
dat/project.3.dat,0.2,3,7,0.0342773
dat/project.3.dat,0.2,4,7,0.0342773
dat/project.3.dat,0.2,5,7,0.0504526
dat/project.3.dat,0.2,6,7,0.0504526
dat/project.3.dat,0.2,7,7,0.0672268
dat/project.3.dat,0.2,8,7,0.083854
dat/project.3.dat,0.2,9,7,0.083854
dat/project.3.dat,0.2,10,7,0.100347
dat/project.3.dat,0.4,1,7,0.0104898
dat/project.3.dat,0.4,2,7,0.0274125
dat/project.3.dat,0.4,3,7,0.0274125
dat/project.3.dat,0.4,4,7,0.0441138
dat/project.3.dat,0.4,5,7,0.0441138
dat/project.3.dat,0.4,6,7,0.0605301
dat/project.3.dat,0.4,7,7,0.0772148
dat/project.3.dat,0.4,8,7,0.0772148
dat/project.3.dat,0.4,9,7,0.0938212
dat/project.3.dat,0.4,10,7,0.0998285
dat/project.3.dat,0.6,1,7,0.0048467
dat/project.3.dat,0.6,2,7,0.0219454
dat/project.3.dat,0.6,3,7,0.0219454
dat/project.3.dat,0.6,4,7,0.0387958
dat/project.3.dat,0.6,5,7,0.0387958
dat/project.3.dat,0.6,6,7,0.0645201
dat/project.3.dat,0.6,7,7,0.072082
