instance,alpha,num_iterations,score,time
dat/project.1.dat,0,1,10.05,0.0224807
dat/project.1.dat,0,2,10.05,0.0390775
dat/project.1.dat,0,3,10.05,0.0638389
dat/project.1.dat,0,4,10.05,0.0798404
dat/project.1.dat,0,5,10.05,0.0974457
dat/project.1.dat,0,6,10.05,0.11305
dat/project.1.dat,0,7,10.05,0.129432
dat/project.1.dat,0,8,10.05,0.154607
dat/project.1.dat,0,9,10.05,0.171115
dat/project.1.dat,0,10,10.05,0.188348
dat/project.1.dat,0.2,1,10.05,0.0162456
dat/project.1.dat,0.2,2,10.05,0.0327054
dat/project.1.dat,0.2,3,10.05,0.049172
dat/project.1.dat,0.2,4,10.05,0.0653381
dat/project.1.dat,0.2,5,10.05,0.0892889
dat/project.1.dat,0.2,6,10.05,0.105624
dat/project.1.dat,0.2,7,10.05,0.12171
dat/project.1.dat,0.2,8,10.05,0.138053
dat/project.1.dat,0.2,9,10.05,0.154365
dat/project.1.dat,0.2,10,10.05,0.172999
dat/project.1.dat,0.4,1,10.05,0.0232957
dat/project.1.dat,0.4,2,10.05,0.03974
dat/project.1.dat,0.4,3,10.05,0.0649655
dat/project.1.dat,0.4,4,10.05,0.0807995
dat/project.1.dat,0.4,5,10.05,0.105425
dat/project.1.dat,0.4,6,10.05,0.121265
dat/project.1.dat,0.4,7,10.05,0.146412
dat/project.1.dat,0.4,8,10.05,0.162339
dat/project.1.dat,0.4,9,10.05,0.185221
dat/project.1.dat,0.4,10,10.05,0.202739
dat/project.1.dat,0.6,1,10.05,0.0165338
dat/project.1.dat,0.6,2,10.05,0.0331163
dat/project.1.dat,0.6,3,10.05,0.106146
dat/project.1.dat,0.6,4,10.05,0.122578
dat/project.1.dat,0.6,5,10.05,0.139056
dat/project.1.dat,0.6,6,10.05,0.163771
dat/project.1.dat,0.6,7,10.05,0.179949
dat/project.1.dat,0.6,8,10.05,0.196232
dat/project.1.dat,0.6,9,10.05,0.212596
dat/project.1.dat,0.6,10,10.05,0.237042
dat/project.1.dat,0.8,1,10.05,0.0171887
dat/project.1.dat,0.8,2,10.05,0.033837
dat/project.1.dat,0.8,3,10.05,0.0494553
dat/project.1.dat,0.8,4,10.05,0.0729115
dat/project.1.dat,0.8,5,10.05,0.0908907
dat/project.1.dat,0.8,6,10.05,0.107161
dat/project.1.dat,0.8,7,10.05,0.123191
dat/project.1.dat,0.8,8,10.05,0.139499
dat/project.1.dat,0.8,9,10.05,0.156724
dat/project.1.dat,0.8,10,10.05,0.180658
dat/project.1.dat,1,1,10.05,0.0160041
dat/project.1.dat,1,2,10.05,0.0326521
dat/project.1.dat,1,3,10.05,0.0588056
dat/project.1.dat,1,4,10.05,0.0777152
dat/project.1.dat,1,5,10.05,0.106693
dat/project.1.dat,1,6,10.05,0.131231
dat/project.1.dat,1,7,10.05,0.158681
dat/project.1.dat,1,8,10.05,0.180001
dat/project.1.dat,1,9,10.05,0.1962
dat/project.1.dat,1,10,10.05,0.212706
dat/project.2.dat,0,1,7.55,0.0164222
dat/project.2.dat,0,2,7.55,0.0373545
dat/project.2.dat,0,3,7.55,0.0569
dat/project.2.dat,0,4,7.55,0.0737502
dat/project.2.dat,0,5,7.55,0.0897033
dat/project.2.dat,0,6,7.55,0.106341
dat/project.2.dat,0,7,7.55,0.12308
dat/project.2.dat,0,8,7.55,0.140273
dat/project.2.dat,0,9,7.55,0.164504
